year,injuries,fatalities,region,count
1980,75,13,Sub-Saharan Africa,14
1981,0,13,Sub-Saharan Africa,9
1982,0,22,Sub-Saharan Africa,12
1983,3,11,Sub-Saharan Africa,6
1984,0,4,Sub-Saharan Africa,3
1985,0,5,Sub-Saharan Africa,1
1986,0,1,Sub-Saharan Africa,1
1987,19,35,Sub-Saharan Africa,11
1988,3,2,Sub-Saharan Africa,1
1989,9,21,Sub-Saharan Africa,3
1990,14,9,Sub-Saharan Africa,6
1991,0,0,Sub-Saharan Africa,1
1992,0,0,Sub-Saharan Africa,1
1994,25,0,Sub-Saharan Africa,1
1995,1,0,Sub-Saharan Africa,2
2000,0,0,Sub-Saharan Africa,1
2001,0,1,Sub-Saharan Africa,3
2002,49,8,Sub-Saharan Africa,8
2003,8,0,Sub-Saharan Africa,1
2006,5,0,Sub-Saharan Africa,1
2007,0,0,Sub-Saharan Africa,1
2008,8,7,Sub-Saharan Africa,5
2010,1,1,Sub-Saharan Africa,1
2011,0,0,Sub-Saharan Africa,1
2013,1,1,Sub-Saharan Africa,3
2014,0,0,Sub-Saharan Africa,1
