Australasia & Oceania,Australia,104
Australasia & Oceania,Fiji,17
Australasia & Oceania,French Polynesia,3
Australasia & Oceania,New Caledonia,31
Australasia & Oceania,New Hebrides,1
Australasia & Oceania,New Zealand,20
Australasia & Oceania,Papua New Guinea,81
Australasia & Oceania,Solomon Islands,4
Australasia & Oceania,Vanuatu,2
Australasia & Oceania,Wallis and Futuna,1
Central America & Caribbean,Antigua and Barbuda,1
Central America & Caribbean,Bahamas,5
Central America & Caribbean,Barbados,3
Central America & Caribbean,Belize,8
Central America & Caribbean,Costa Rica,67
Central America & Caribbean,Cuba,30
Central America & Caribbean,Dominica,3
Central America & Caribbean,Dominican Republic,89
Central America & Caribbean,El Salvador,5320
Central America & Caribbean,Grenada,5
Central America & Caribbean,Guadeloupe,56
Central America & Caribbean,Guatemala,2050
Central America & Caribbean,Haiti,213
Central America & Caribbean,Honduras,322
Central America & Caribbean,Jamaica,34
Central America & Caribbean,Martinique,12
Central America & Caribbean,Nicaragua,1970
Central America & Caribbean,Panama,127
Central America & Caribbean,St. Kitts and Nevis,2
Central America & Caribbean,St. Lucia,1
Central America & Caribbean,Trinidad and Tobago,22
Central Asia,Armenia,24
Central Asia,Azerbaijan,47
Central Asia,Georgia,216
Central Asia,Kazakhstan,27
Central Asia,Kyrgyzstan,32
Central Asia,Tajikistan,185
Central Asia,Turkmenistan,2
Central Asia,Uzbekistan,21
East Asia,China,247
East Asia,Hong Kong,26
East Asia,Japan,401
East Asia,Macau,33
East Asia,North Korea,1
East Asia,South Korea,38
East Asia,Taiwan,48
Eastern Europe,Albania,79
Eastern Europe,Belarus,13
Eastern Europe,Bosnia-Herzegovina,159
Eastern Europe,Bulgaria,52
Eastern Europe,Croatia,57
Eastern Europe,Czech Republic,29
Eastern Europe,Czechoslovakia,10
Eastern Europe,East Germany (GDR),38
Eastern Europe,Estonia,16
Eastern Europe,Hungary,46
Eastern Europe,Kosovo,188
Eastern Europe,Latvia,16
Eastern Europe,Lithuania,8
Eastern Europe,Macedonia,117
Eastern Europe,Moldova,21
Eastern Europe,Montenegro,5
Eastern Europe,Poland,36
Eastern Europe,Romania,6
Eastern Europe,Russia,2158
Eastern Europe,Serbia,11
Eastern Europe,Serbia-Montenegro,11
Eastern Europe,Slovak Republic,18
Eastern Europe,Slovenia,6
Eastern Europe,Soviet Union,78
Eastern Europe,Ukraine,1650
Eastern Europe,Yugoslavia,203
Middle East & North Africa,Algeria,2729
Middle East & North Africa,Bahrain,186
Middle East & North Africa,Egypt,2165
Middle East & North Africa,International,1
Middle East & North Africa,Iran,676
Middle East & North Africa,Iraq,22130
Middle East & North Africa,Israel,2133
Middle East & North Africa,Jordan,101
Middle East & North Africa,Kuwait,76
Middle East & North Africa,Lebanon,2454
Middle East & North Africa,Libya,2053
Middle East & North Africa,Morocco,36
Middle East & North Africa,North Yemen,6
Middle East & North Africa,Qatar,7
Middle East & North Africa,Saudi Arabia,317
Middle East & North Africa,South Yemen,2
Middle East & North Africa,Syria,1949
Middle East & North Africa,Tunisia,104
Middle East & North Africa,Turkey,4106
Middle East & North Africa,United Arab Emirates,22
Middle East & North Africa,West Bank and Gaza Strip,2144
Middle East & North Africa,Western Sahara,5
Middle East & North Africa,Yemen,3109
North America,Canada,84
North America,Mexico,504
North America,United States,2758
South America,Argentina,806
South America,Bolivia,314
South America,Brazil,268
South America,Chile,2351
South America,Colombia,8163
South America,Ecuador,217
South America,Falkland Islands,1
South America,French Guiana,7
South America,Guyana,26
South America,Paraguay,104
South America,Peru,6088
South America,Suriname,66
South America,Uruguay,76
South America,Venezuela,275
South Asia,Afghanistan,11306
South Asia,Bangladesh,1605
South Asia,Bhutan,6
South Asia,India,10978
South Asia,Maldives,18
South Asia,Mauritius,2
South Asia,Nepal,967
South Asia,Pakistan,13634
South Asia,Sri Lanka,2981
Southeast Asia,Brunei,1
Southeast Asia,Cambodia,258
Southeast Asia,East Timor,10
Southeast Asia,Indonesia,735
Southeast Asia,Laos,26
Southeast Asia,Malaysia,95
Southeast Asia,Myanmar,430
Southeast Asia,Philippines,6212
Southeast Asia,Singapore,7
Southeast Asia,South Vietnam,1
Southeast Asia,Thailand,3668
Southeast Asia,Vietnam,10
Sub-Saharan Africa,Angola,493
Sub-Saharan Africa,Benin,8
Sub-Saharan Africa,Botswana,10
Sub-Saharan Africa,Burkina Faso,20
Sub-Saharan Africa,Burundi,587
Sub-Saharan Africa,Cameroon,234
Sub-Saharan Africa,Central African Republic,235
Sub-Saharan Africa,Chad,85
Sub-Saharan Africa,Comoros,5
Sub-Saharan Africa,Democratic Republic of the Congo,628
Sub-Saharan Africa,Djibouti,21
Sub-Saharan Africa,Equatorial Guinea,2
Sub-Saharan Africa,Eritrea,10
Sub-Saharan Africa,Ethiopia,163
Sub-Saharan Africa,Gabon,4
Sub-Saharan Africa,Gambia,3
Sub-Saharan Africa,Ghana,19
Sub-Saharan Africa,Guinea,25
Sub-Saharan Africa,Guinea-Bissau,9
Sub-Saharan Africa,Ivory Coast,61
Sub-Saharan Africa,Kenya,582
Sub-Saharan Africa,Lesotho,29
Sub-Saharan Africa,Liberia,33
Sub-Saharan Africa,Madagascar,27
Sub-Saharan Africa,Malawi,4
Sub-Saharan Africa,Mali,417
Sub-Saharan Africa,Mauritania,18
Sub-Saharan Africa,Mozambique,351
Sub-Saharan Africa,Namibia,151
Sub-Saharan Africa,Niger,139
Sub-Saharan Africa,Nigeria,3418
Sub-Saharan Africa,People's Republic of the Congo,3
Sub-Saharan Africa,Republic of the Congo,34
Sub-Saharan Africa,Rhodesia,83
Sub-Saharan Africa,Rwanda,157
Sub-Saharan Africa,Senegal,118
Sub-Saharan Africa,Seychelles,2
Sub-Saharan Africa,Sierra Leone,98
Sub-Saharan Africa,Somalia,3482
Sub-Saharan Africa,South Africa,1987
Sub-Saharan Africa,South Sudan,171
Sub-Saharan Africa,Sudan,861
Sub-Saharan Africa,Swaziland,16
Sub-Saharan Africa,Tanzania,53
Sub-Saharan Africa,Togo,48
Sub-Saharan Africa,Uganda,381
Sub-Saharan Africa,Zaire,48
Sub-Saharan Africa,Zambia,60
Sub-Saharan Africa,Zimbabwe,98
Western Europe,Andorra,1
Western Europe,Austria,109
Western Europe,Belgium,148
Western Europe,Cyprus,132
Western Europe,Denmark,41
Western Europe,Finland,18
Western Europe,France,2642
Western Europe,Germany,703
Western Europe,Greece,1231
Western Europe,Iceland,4
Western Europe,Ireland,290
Western Europe,Italy,1556
Western Europe,Luxembourg,16
Western Europe,Malta,20
Western Europe,Netherlands,128
Western Europe,Norway,18
Western Europe,Portugal,139
Western Europe,Spain,3245
Western Europe,Sweden,118
Western Europe,Switzerland,108
Western Europe,United Kingdom,5098
Western Europe,Vatican City,1
Western Europe,West Germany (FRG),541
